design_id,mission_id,wind_speed_kts,turbulence_index,success,failure_phase,failure_reason,rule_violation,total_time_s,time_takeoff_climb_s,time_loaded_cruise_s,time_drop_descent_s,time_drop_hover_s,time_post_drop_climb_s,time_empty_cruise_s,time_descent_landing_s,time_wing_deploy_s,energy_used_Wh,battery_energy_remaining_Wh,payload_to_aircraft_ratio,is_qualifying_run,is_4to1_qualifying,prize_tier,qualifying_score,max_power_requested_W,max_power_available_W,power_saturation_seconds,thermal_peak_C
DLIFT_186142ea7d,MSN_ba0b1f9163,12.564278316961994,0.5159335837184567,True,,,,916.0,32.0,667.0,38.0,1.0,26.0,119.0,33.0,0.0,493.52051346540105,857.3683433108686,2.912793401489726,True,False,partial,2.912793401489726,6856.846528193164,17504.99031401187,0.0,22.508631936642473
DLIFT_186142ea7d,MSN_8d0c6f3051,4.712260505072147,0.7482429631539169,True,,,,852.0,30.0,611.0,43.0,1.0,33.0,103.0,31.0,0.0,498.6601904967677,851.6984325443376,2.912793401489726,True,False,partial,2.912793401489726,6769.651223220837,17504.99031401187,0.0,22.55604533133538
DLIFT_186142ea7d,MSN_2c289a5e38,7.330152947374194,0.07057400419482457,False,mission,propulsion_architecture_fault,propulsion_architecture_risk,259.0,35.0,206.0,0.0,0.0,0.0,0.0,18.0,0.0,183.61960956428905,1168.0645978147277,2.912793401489726,False,False,none,0.0,6411.327309724357,17504.99031401187,0.0,22.367575231962427
DLIFT_186142ea7d,MSN_df9baa0785,8.691831738135317,1.031024758103617,True,,,,874.0,34.0,628.0,30.0,1.0,37.0,112.0,32.0,0.0,511.13851822148285,840.8350758510915,2.912793401489726,True,False,partial,2.912793401489726,7185.89566165402,17504.99031401187,0.0,22.562075207861437
DLIFT_186142ea7d,MSN_7e676a504c,17.580663440726298,0.7987625978012387,True,,,,994.0,41.0,719.0,30.0,1.0,35.0,131.0,37.0,0.0,527.0793992948489,827.0024567705589,2.912793401489726,True,False,partial,2.912793401489726,7196.978683677458,17504.99031401187,0.0,22.49973042496285
DLIFT_186142ea7d,MSN_d94f8cd57d,18.95138297388942,0.36090119839770196,True,,,,990.0,28.0,734.0,38.0,1.0,32.0,130.0,27.0,0.0,507.17347082617795,842.6549184797623,2.912793401489726,True,False,partial,2.912793401489726,6829.008295727219,17504.99031401187,0.0,22.491481752146335
DLIFT_186142ea7d,MSN_c61d342563,17.597212135494985,1.1279782515140333,True,,,,936.0,32.0,669.0,35.0,1.0,30.0,127.0,42.0,0.0,471.1668726824281,882.1353220443352,2.912793401489726,True,False,partial,2.912793401489726,7385.950722406166,17504.99031401187,0.0,22.497427596396257
DLIFT_186142ea7d,MSN_c09bc150d9,19.792736593362775,0.8853565563140304,True,,,,991.0,33.0,728.0,33.0,1.0,38.0,127.0,31.0,0.0,546.8602447571045,806.673838297275,2.912793401489726,True,False,partial,2.912793401489726,7383.186409242307,17504.99031401187,0.0,22.524349358994918
DLIFT_186142ea7d,MSN_7f84f70b25,18.356921465588865,0.7260542231740008,True,,,,953.0,32.0,675.0,34.0,1.0,43.0,145.0,23.0,0.0,473.62086219729076,877.5697615710841,2.912793401489726,True,False,partial,2.912793401489726,7134.715707696661,17504.99031401187,0.0,22.495723997407932
DLIFT_186142ea7d,MSN_c402044acf,4.79869408090026,1.0787405394778768,True,,,,823.0,33.0,580.0,39.0,1.0,38.0,105.0,27.0,0.0,480.15149883979876,871.3689987675914,2.912793401489726,True,False,partial,2.912793401489726,7144.307247489629,17504.99031401187,0.0,22.55638323280849
DLIFT_5a933e31c6,MSN_11401605b6,24.87067934857979,1.1168245993986525,True,,,,1106.0,20.0,862.0,16.0,1.0,22.0,167.0,18.0,7.0,426.9641273635571,19884.51201534781,3.515924400105257,True,False,partial,3.515924400105257,6750.04532186994,69033.32292353107,0.0,22.325969911805075
DLIFT_5a933e31c6,MSN_69665831e1,25.775595936042684,0.4043945158293971,True,,,,1138.0,19.0,877.0,20.0,1.0,18.0,184.0,19.0,7.0,421.44326701579087,19890.03287569551,3.515924400105257,True,False,partial,3.515924400105257,6452.552527347395,69033.32292353107,0.0,22.297000460345984
DLIFT_5a933e31c6,MSN_bac01762ce,16.14088487233182,1.0923452822886408,False,loaded_cruise,wing_deploy_failure,wing_deploy,25.0,18.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,33.22815040468939,20278.247992306675,3.515924400105257,False,False,none,0.0,6585.498848613468,69033.32292353107,0.0,22.098617060979777
DLIFT_5a933e31c6,MSN_e66a62afbc,34.443905947999475,0.9892612681397446,True,,,,1257.0,18.0,973.0,19.0,1.0,19.0,210.0,17.0,7.0,431.34466021737717,19880.131482493973,3.515924400105257,True,False,partial,3.515924400105257,6952.716245618036,69033.32292353107,0.0,22.29824584671407
DLIFT_5a933e31c6,MSN_5da338f95c,1.3668337851013574,1.1636731520020065,False,mission,propulsion_architecture_fault,propulsion_architecture_risk,297.0,18.0,260.0,0.0,0.0,0.0,0.0,19.0,7.0,160.42894802593975,20151.0471946854,3.515924400105257,False,False,none,0.0,6359.575458950118,69033.32292353107,0.0,22.2757342684612
